,ABMI
1948,325962
1949,336994
1950,348137
1951,361238
1952,367027
1953,387296
1954,403966
1955,419432
1956,426292
1957,434485
1958,439952
1959,458027
1960,486830
1961,499866
1962,505352
1963,530028
1964,559540
1965,571561
1966,580500
1967,596705
1968,629490
1969,641741
1970,659138
1971,682087
1972,710920
1973,757414
1974,738320
1975,726879
1976,748891
1977,768340
1978,800072
1979,829484
1980,811490
1981,804618
1982,821317
1983,855827
1984,875172
1985,911170
1986,940039
1987,992306
1988,1051051
1989,1077528
1990,1083493
1991,1069873
1992,1074649
1993,1102966
1994,1147349
1995,1176282
1996,1207663
1997,1245088
1998,1287128
1999,1327193
2000,1377611
2001,1415605
2002,1450910
2003,1499322
2004,1536631
2005,1582675
2006,1624802
2007,1666821
2008,1659039
2009,1589493
2010,1613974
2011,1645808
2012,1665213
2013,1701180
2014,1749712
