All figures œmn unless otherwise stated,Narrow Money,,,,,,
,Bank of England Balance Sheet,Nominal GDP,,% of lagged nominal GDP,,,
Documentation,"Total assets, œmn, 1696-1697 - 14th March 1696 and 25th June 1697, 1698-1764 - End-August balance sheet, 1766-1966 - End-February balance sheet,February, 1858-1966, 1966-2014 third Wednesday in February 
",Composite estimate of UK nominal GDP at market prices œmn,"Composite estimate of nominal GDP at market prices œmn, with S Ireland included before 1921.",Composite estimate of UK nominal GDP at market prices œmn,"Composite estimate of nominal GDP at market prices œmn, with S Ireland included before 1921.",,
Source,Bank of England,,,,,,
1688,,,,,,,
1689,,,,,,,
1690,,,,,,,
1691,,,,,,,
1692,,,,,,,
1693,,,,,,,
1694,,,,,,,
1695,,,,,,,
1696,3.18,,,,,,
1697,3.46,,,,,,
1698,4.21,,,,,,
1699,4.16,,,,,,
1700,4.12,87,91,,,,
1701,4.48,91,95,5.14,4.90,,
1702,4.51,87,91,4.97,4.75,,
1703,4.69,80,83,5.39,5.15,,
1704,4.10,98,103,5.14,4.91,,
1705,4.53,91,95,4.61,4.41,,
1706,4.15,74,77,4.56,4.35,,
1707,3.74,82,86,5.07,4.84,,
1708,4.08,91,96,4.96,4.74,,
1709,6.14,86,90,6.72,6.42,,
1710,6.21,80,84,7.22,6.89,,
1711,7.01,81,85,8.73,8.34,,
1712,8.29,78,82,10.22,9.76,,
1713,7.24,77,81,9.23,8.81,,
1714,8.94,87,91,11.60,11.07,,
1715,7.38,80,84,8.49,8.11,,
1716,9.11,84,88,11.33,10.82,,
1717,8.93,89,94,10.67,10.18,,
1718,8.47,95,99,9.46,9.04,,
1719,8.58,91,95,9.05,8.64,,
1720,10.38,101,106,11.40,10.88,,
1721,9.37,92,97,9.29,8.87,,
1722,10.91,91,96,11.80,11.26,,
1723,13.39,91,96,14.66,14.00,,
1724,15.87,91,95,17.36,16.58,,
1725,14.77,95,99,16.32,15.58,,
1726,15.02,94,99,15.82,15.10,,
1727,17.12,92,96,18.16,17.34,,
1728,16.97,100,105,18.54,17.70,,
1729,16.40,92,97,16.41,15.67,,
1730,16.65,88,92,18.06,17.24,,
1731,16.75,86,90,19.02,18.16,,
1732,17.17,89,93,19.99,19.09,,
1733,16.92,92,97,19.02,18.16,,
1734,17.71,92,97,19.21,18.34,,
1735,17.77,91,96,19.28,18.41,,
1736,17.88,98,102,19.55,18.67,,
1737,17.24,91,95,17.62,16.82,,
1738,17.43,91,96,19.23,18.36,,
1739,17.13,91,96,18.77,17.92,,
1740,17.78,97,102,19.49,18.61,,
1741,17.71,101,106,18.22,17.39,,
1742,18.41,101,106,18.21,17.38,,
1743,18.41,97,101,18.26,17.43,,
1744,18.34,95,99,18.93,18.07,,
1745,16.79,94,98,17.74,16.93,,
1746,18.38,100,104,19.62,18.73,,
1747,18.16,102,107,18.21,17.38,,
1748,17.59,103,108,17.20,16.42,,
1749,18.22,103,108,17.71,16.90,,
1750,18.40,104,109,17.84,17.03,,
1751,19.39,103,108,18.57,17.72,,
