SERIES,DESCRIPTION,,
LPQVQJO,Quarterly amounts outstanding of private sector sterling holdings of notes and coin (in sterling millions) seasonally adjusted,,
LPQVQWK,Quarterly amounts outstanding of monetary financial institutions' sterling retail M4 liabilities to private sector (in sterling millions) seasonally adjusted,,
,,,
DATE,LPQVQJO,LPQVQWK,GDP nom
30-Sep-82,10424,117180,67411
31-Dec-82,10500,125069,69749
31-Mar-83,11276,129427,71840
30-Jun-83,11023,132590,72297
30-Sep-83,11069,135529,74504
31-Dec-83,11055,140284,76389
31-Mar-84,11270,144411,76645
30-Jun-84,11624,148525,78383
30-Sep-84,11577,151682,79135
31-Dec-84,11389,157011,81538
31-Mar-85,11730,160975,83185
30-Jun-85,11777,164997,86911
30-Sep-85,11639,170835,87817
31-Dec-85,11929,176451,89236
31-Mar-86,12126,182622,90067
30-Jun-86,11985,188968,91642
30-Sep-86,12099,195072,93191
31-Dec-86,12586,199230,96006
31-Mar-87,12104,202495,97815
30-Jun-87,12520,209478,101579
30-Sep-87,12745,213580,105365
31-Dec-87,13208,219751,107289
31-Mar-88,13862,228813,110911
30-Jun-88,13771,237885,113215
30-Sep-88,14094,247825,117092
31-Dec-88,13986,255249,121254
31-Mar-89,13979,262571,124481
30-Jun-89,14451,262117,126391
30-Sep-89,14678,270972,129868
31-Dec-89,14764,278698,133126
31-Mar-90,14938,286742,135385
30-Jun-90,15211,296178,139436
30-Sep-90,15206,303407,142160
31-Dec-90,14767,308620,142830
31-Mar-91,15307,317245,144066
30-Jun-91,15367,324241,145895
30-Sep-91,15311,330540,146897
31-Dec-91,15320,334778,148835
31-Mar-92,15172,339342,150440
30-Jun-92,15490,342131,151498
30-Sep-92,15654,345473,151529
31-Dec-92,16369,372043,154224
31-Mar-93,15969,376543,157589
30-Jun-93,16453,382158,158577
30-Sep-93,16945,386498,161474
31-Dec-93,17119,393099,163171
31-Mar-94,18241,399371,165289
30-Jun-94,17937,399862,167082
30-Sep-94,18187,404129,168201
31-Dec-94,17974,409098,171978
31-Mar-95,18199,415165,172545
30-Jun-95,18699,422523,174073
30-Sep-95,18762,430183,177319
31-Dec-95,18983,435505,179710
31-Mar-96,19164,442328,183857
30-Jun-96,19761,447682,188333
30-Sep-96,19954,452921,190168
31-Dec-96,20109,458945,190516
31-Mar-97,20629,469193,194368
30-Jun-97,20891,480957,195629
30-Sep-97,21289,476119,197731
31-Dec-97,21637,482896,199657
31-Mar-98,21525,488228,203816
30-Jun-98,22154,495173,205360
30-Sep-98,22494,503019,205651
31-Dec-98,22983,512762,210414
31-Mar-99,23286,518249,212271
30-Jun-99,23581,529484,211963
30-Sep-99,23774,538108,214811
31-Dec-99,25086,555856,217867
31-Mar-00,25026,557371,223872
30-Jun-00,25618,565823,227125
30-Sep-00,26254,578740,230288
31-Dec-00,26677,594462,229828
31-Mar-01,26310,604995,232339
30-Jun-01,27395,622676,238342
30-Sep-01,28141,634591,237501
31-Dec-01,29164,646995,240011
31-Mar-02,29497,662367,243590
30-Jun-02,29821,674573,247504
30-Sep-02,30180,686853,252017
31-Dec-02,30896,701205,255902
31-Mar-03,31546,716065,260257
30-Jun-03,32223,732914,264519
30-Sep-03,32967,753184,269063
31-Dec-03,33070,774761,272435
31-Mar-04,33662,787150,274749
30-Jun-04,33839,805799,280866
30-Sep-04,34715,826137,282714
31-Dec-04,35020,842717,284908
31-Mar-05,35412,859657,287976
30-Jun-05,35807,879826,297486
30-Sep-05,36285,901960,299000
31-Dec-05,37017,919793,304710
31-Mar-06,37935,941814,309405
30-Jun-06,38210,956357,314204
30-Sep-06,38636,972741,315672
31-Dec-06,38790,993474,319803
31-Mar-07,39165,1007328,324841
30-Jun-07,39935,1027448,330322
30-Sep-07,40910,1039895,334216
31-Dec-07,41647,1068342,338565
31-Mar-08,41759,1103591,344686
30-Jun-08,42766,1119855,343297
30-Sep-08,43491,1126547,343949
31-Dec-08,45288,1120467,336785
31-Mar-09,46828,1130816,334994
30-Jun-09,46677,1144807,333692
30-Sep-09,48274,1164451,336294
31-Dec-09,49298,1182898,340066
31-Mar-10,50684,1201459,346393
30-Jun-10,50662,1205494,350459
30-Sep-10,50734,1213649,350585
31-Dec-10,50770,1229535,353247
31-Mar-11,51966,1236502,359764
30-Jun-11,52819,1245184,357861
30-Sep-11,53532,1253393,360479
31-Dec-11,53407,1265679,363494
31-Mar-12,54598,1278065,366945
30-Jun-12,55280,1295518,366415
30-Sep-12,55606,1318488,372137
31-Dec-12,56481,1335625,370451
31-Mar-13,56790,1355292,374592
30-Jun-13,58224,1375051,381949
30-Sep-13,59405,1392341,383439
31-Dec-13,59751,1408035,387160
31-Mar-14,60222,1437486,391371
30-Jun-14,61123,1459376,396450
30-Sep-14,62515,1477423,403176
31-Dec-14,62486,1495618,
