FRED Graph Observations,,,
Federal Reserve Economic Data,,,
Link: https://research.stlouisfed.org/fred2,,,
Help: https://research.stlouisfed.org/fred2/help-faq,,,
Economic Research Division,,,
Federal Reserve Bank of St. Louis,,,
,,,
CPIAUCSL,"Consumer Price Index for All Urban Consumers: All Items, Index 1982-1984=100, Monthly, Seasonally Adjusted",,
UNRATE,"Civilian Unemployment Rate, Percent, Monthly, Seasonally Adjusted",,
,,,
Frequency: Monthly,,,
observation_date,CPIAUCSL,,UNRATE
1947-01-01,21.480,,
1947-02-01,21.620,,
1947-03-01,22.000,,
1947-04-01,22.000,,
1947-05-01,21.950,,
1947-06-01,22.080,,
1947-07-01,22.230,,
1947-08-01,22.400,,
1947-09-01,22.840,,
1947-10-01,22.910,,
1947-11-01,23.060,,
1947-12-01,23.410,,
1948-01-01,23.680,10.24%,3.4
1948-02-01,23.670,9.48%,3.8
1948-03-01,23.500,6.82%,4.0
1948-04-01,23.820,8.27%,3.9
1948-05-01,24.010,9.38%,3.5
1948-06-01,24.150,9.38%,3.6
1948-07-01,24.400,9.76%,3.6
1948-08-01,24.430,9.06%,3.9
1948-09-01,24.360,6.65%,3.8
1948-10-01,24.310,6.11%,3.7
1948-11-01,24.160,4.77%,3.8
1948-12-01,24.050,2.73%,4.0
1949-01-01,24.010,1.39%,4.3
1949-02-01,23.910,1.01%,4.7
1949-03-01,23.910,1.74%,5.0
1949-04-01,23.920,0.42%,5.3
1949-05-01,23.910,-0.42%,6.1
1949-06-01,23.920,-0.95%,6.2
1949-07-01,23.700,-2.87%,6.7
1949-08-01,23.700,-2.99%,6.8
1949-09-01,23.750,-2.50%,6.6
1949-10-01,23.670,-2.63%,7.9
1949-11-01,23.700,-1.90%,6.4
1949-12-01,23.610,-1.83%,6.6
1950-01-01,23.510,-2.08%,6.5
1950-02-01,23.610,-1.25%,6.4
1950-03-01,23.640,-1.13%,6.3
1950-04-01,23.650,-1.13%,5.8
1950-05-01,23.770,-0.59%,5.5
1950-06-01,23.880,-0.17%,5.4
1950-07-01,24.070,1.56%,5.0
1950-08-01,24.200,2.11%,4.5
1950-09-01,24.340,2.48%,4.4
1950-10-01,24.500,3.51%,4.2
1950-11-01,24.600,3.80%,4.2
1950-12-01,24.980,5.80%,4.3
1951-01-01,25.380,7.95%,3.7
1951-02-01,25.830,9.40%,3.4
1951-03-01,25.880,9.48%,3.4
1951-04-01,25.920,9.60%,3.1
1951-05-01,25.990,9.34%,3.0
1951-06-01,25.930,8.58%,3.2
1951-07-01,25.910,7.64%,3.1
1951-08-01,25.860,6.86%,3.1
1951-09-01,26.030,6.94%,3.3
1951-10-01,26.160,6.78%,3.5
1951-11-01,26.320,6.99%,3.5
1951-12-01,26.470,5.96%,3.1
1952-01-01,26.450,4.22%,3.2
1952-02-01,26.410,2.25%,3.1
1952-03-01,26.390,1.97%,2.9
1952-04-01,26.460,2.08%,2.9
1952-05-01,26.470,1.85%,3.0
1952-06-01,26.530,2.31%,3.0
1952-07-01,26.680,2.97%,3.2
1952-08-01,26.690,3.21%,3.4
1952-09-01,26.630,2.31%,3.1
1952-10-01,26.690,2.03%,3.0
1952-11-01,26.690,1.41%,2.8
1952-12-01,26.710,0.91%,2.7
1953-01-01,26.640,0.72%,2.9
1953-02-01,26.590,0.68%,2.6
1953-03-01,26.630,0.91%,2.6
1953-04-01,26.690,0.87%,2.7
1953-05-01,26.700,0.87%,2.5
1953-06-01,26.770,0.90%,2.5
1953-07-01,26.790,0.41%,2.6
1953-08-01,26.850,0.60%,2.7
1953-09-01,26.890,0.98%,2.9
1953-10-01,26.950,0.97%,3.1
1953-11-01,26.850,0.60%,3.5
1953-12-01,26.870,0.60%,4.5
1954-01-01,26.940,1.13%,4.9
1954-02-01,26.990,1.50%,5.2
1954-03-01,26.930,1.13%,5.7
