"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","100178000","161488000","192174000","243266000","263883000","313967000","331276000","377894000","441453000","443698000","447472000","473181000","546999000","589726000","596506000","701051000","844411000","985605000","960833000","964985000","1055449000","1147127000","1397942000","1541325000","1373100000","1554730000","1829941000","1713439000","",
"Andorra","AND","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Money (current LCU)","FM.LBL.MONY.CN","3050000000","3305000000","3751000000","4619000000","5574000000","6104000000","6143000000","6101000000","7284000000","8278200000","8738000000","9673700000","10825500000","11318000000","12522000000","14975000000","18322000000","23752000000","28625000000","34186600000","39779200000","45664000000","52768090000","","68433080000","76154070000","84907920000","131214640000","179209070000","250857440000","350820000000","","","","","","","","","","","","","","","","79505810580","111777340670.684","147449218490.01","192176800769.68","240257242694.24","290721953473.58","319164095460.29","350695826581.95","",
"Angola","AGO","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2689023.4832","93917885.7","194910122.3","272431527.6","1189459391.12","5057704731.85","30167178715.32","68600901709.968","126218197452.053","186747353942.875","310913568221.53","470971105810.33","705191794460.78","1231298971118.34","1631066961387.73","1663640460457.16","2155798698055.19","2228166785707.08","2587093146581.44","",
"Albania","ALB","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38765900000","59252600000","90405100000","91667200000","83728543000","103003466000","124041154000","140760000000","166670143069.799","161080456586.969","183780293907.745","215128626369.112","251754227629.672","271115287857.2","312519569441.687","324929015385.137","325085866608.916","325193448528.779","330729581883.049","356244259542.087","",
"Arab World","ARB","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","969900000","1536200000","2603000000","4725100000","5214700000","5775900000","6268500000","7354500000","8969100000","9738900000","9124400000","8891700000","9505000000","9201300000","10096400000","10753300000","11056000000","10762000000","13012000000","14981000000","18174000000","19183000000","20824000000","22266000000","25368000000","27784000000","30252000000","34067000000","39464000000","47054000000","58262000000","80818000000","104449000000","120020000000","181664000000","208138000000","223482000000","232961000000","264096000000","299173000000","379489000000","",
"Argentina","ARG","Money (current LCU)","FM.LBL.MONY.CN","0.0218","0.0202","0.022","0.0283","0.0396","0.0497","0.0671","0.1092","0.1364","0.166","0.176","0.2","0.33","0.7","1.1","3.5","13.6","31.9","78.6","185.1","361.6","638.5","1623.3","7500","51170","350132","664143.7","1418097.2","6401632.4","273232180","3068000000","7626000000","11364000000","15119000000","16361847000","16618714000","19041633000","21482148000","21488660000","21835510000","19838346371.93","15844028000","28272375000","42940179000","55926726000","71241711000","78381028000","106214634000","111703310000","131068625000","172800511000","215282320000","321482976000","406478442000","",
"Armenia","ARM","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114757114.01","1331309675.11","13409725759.3","30078303000","39830202420.1","44054736678.5","52677818424.6","52226942188.9","71394550001.5","104010993904.192","157662150836.034","174348740050.3","207020864249.6","260411945487.9","355329224760.2","518048319518.4","482881241577.1","500786046262.1","547279428522","636701372810.7","694307516518.94","726004201063.166","",
"American Samoa","ASM","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","18965000","24263000","30912000","29371000","34805000","38574000","43156000","41698000","51095000","54325000","64212000","81394000","110623000","133069000","151947000","161966000","175824000","195290000","199810000","229771000","293486643","279672300","284831659","348021597","343638307","336551092","671608601","707507012","757627640","834491014","960666012","1154308458","1301421560","1238107487","966956873","977977720.157097","949828666.324608","964699482.328114","1005509728.33949","",
"Australia","AUS","Money (current LCU)","FM.LBL.MONY.CN","3551000000","3457000000","3525000000","3783000000","3991000000","3907000000","4203000000","4495000000","4752000000","5205000000","5446000000","5749000000","6899000000","8050000000","7990000000","9807000000","10681000000","11390000000","12709000000","14661000000","17220000000","18063000000","18032000000","20796000000","22492000000","23298000000","25947000000","31218000000","36181000000","43541000000","46731000000","50279453000","60327810000","71065422000","78819560000","83953478600","95714975800","108430702200","115010167800","126259957200","137807970000","156823977000","203750811510.13","223817790880.71","238612438955.81","262392213777.95","291789790706.27","347344603220.877","394343755110.77","410223759440.87","443190008516.399","452181733709.55","488098624574.536","562590399913.084","",
"Austria","AUT","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56075000000","57238000000","59103000000","62471000000","72946000000","80188000000","88957000000","94954000000","102650000000","109780000000","126676000000","132260000000","136424000000","153525000000","166608000000","",
"Azerbaijan","AZE","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1213263","13104209.8","74476752.2","171676512.2","223948152.2","304815768","236651345.31232","278016729.72099","313961071.3734","523639938.024596","502849534.642516","678596383.57883","944362645.267226","1087721319.64474","2392004122.66","4049104434.88","5697848556.87","5667361875.37","7281288574.27","9604631422.51","11924848052.42","13476242460.26","",
"Burundi","BDI","Money (current LCU)","FM.LBL.MONY.CN","","","","","1264000000","1308000000","1285000000","1604100000","1635100000","1680100000","2061400000","2388100000","2517600000","2912800000","3565700000","3333500000","5223300000","6481460000","8329300000","9117500000","9362200000","11590000000","10736300000","13006900000","14065400000","17420200000","18997800000","18832700000","19726300000","20479700000","22524600000","24951200000","27448300000","30278600000","38817200000","38801800000","42382900000","46676600000","47220100000","67093400000","77854620000","89392500000","117050820000","143652180000","171395360000","204575660000","251703520000","267378300000","371358100000","436438600000","527438800000","526449000000","623075300000","688642100000","",
"Belgium","BEL","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63982000000","67190000000","65634000000","70598000000","76956000000","89941000000","100611000000","105298000000","108708000000","112906000000","128286000000","130887000000","131670000000","141735000000","151735000000","",
"Benin","BEN","Money (current LCU)","FM.LBL.MONY.CN","","","5680000000","5920000000","5920000000","6040000000","6380000000","6050000000","6935000000","8189000000","9631000000","11521000000","12709000000","12325000000","15730000000","26869000000","25631000000","29318000000","31017000000","33740999999.9844","44680999999.8594","60435999999.8613","83437999999.8613","81999999999.875","90595000000","87087100000","78925900000","61844000000","71954100000","84372400000","104551300000","116658700000","128209600000","111341100000","186220200000","161730000000","189508500000","193352100000","184192200000","270612640000","365127500000","402204200000","370130700000","407517000000","337229700000","429658800000","502348800000","589865500000","750171700000","764252400000","806184600000","869525300000","872360100000","1078702200000","",
"Burkina Faso","BFA","Money (current LCU)","FM.LBL.MONY.CN","","","5330000000","5960000000","6060000000","6270000000","6530000000","6590000000","7453000000","8506000000","9135000000","9472000000","9886000000","13495000000","16375000000","22500000000","27553000000","30781000000","34398000000","34762000000","41668999999.9805","48825999999.7383","54363999999.7382","60333999999.7168","66505000000","69543100000","85427800000","91179400000","100866500000","105369100000","103626900000","109337000000","109897200000","122606900000","170322800000","213703100000","228730700000","268857600000","261945100000","256855200000","275237400000","261953800000","248481800000","451966200000","378174300000","354031300000","367850100000","468167800000","503191100000","615095200000","659216000000","790697500000","917241500000","993119100000","",
"Bangladesh","BGD","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","8080500000","7962700000","8899800000","11339700000","14216200000","17895800000","19648600000","22121000000","22746600000","30980300000","41514000000","45166000000","49143000000","50111000000","52211000000","58835000000","64498000000","69519000000","79115000000","91952000000","114559000000","133681000000","139782000000","150495000000","161708000000","182429000000","216503000000","238795000000","251270000000","269951000000","317884000000","375311000000","495655000000","579066000000","640509000000","746014000000","990054000000","1068658000000","1173494000000","1272061000000","",
"Bulgaria","BGR","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24819000","38016000","50266000","76032000","156326000","495715000","3253914000","3705960000","4038184000","4797188000","6033044000","6696213000","8029897000","10297850000","12442970000","16078460000","20726660000","19866610000","18124990000","18387050000","21026880000","23014210000","27038000000","",
"Bahrain","BHR","Money (current LCU)","FM.LBL.MONY.CN","","","","","","20376000","23834000","28361000","34801000","34429000","37947000","48571000","55215000","59368000","61310000","77770000","127939000","152492000","171343000","186109000","192236000","248764000","222853000","207329000","208262000","218998000","211462000","218863000","216571000","211623000","258555000","304846000","351882000","364858000","344730000","332471000","335271000","347700000","365600000","426200000","445800000","552000000","647222000","821394000","861041985.741496","1062450152.23749","1285800000","1584300000","1898700000","2158300000","2303900000","2636900000","2611100000","2795800000","",
"Bahamas, The","BHS","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","88000000","80500000","68800000","84900000","75200000","75500000","72900000","82000000","91300000","106200000","133500000","134900000","143500000","158000000","176500000","198500000","217200000","242200000","270000000","294500000","299300000","342100000","366100000","379900000","381500000","416400000","444600000","446900000","517131000","593100000","747700000","798000000","767000000","811000000","884000000","1047300000","1207000000","1238700000","1274100000","1255200000","1252400000","1310200000","1407900000","1537200000","1610800000","",
"Bosnia and Herzegovina","BIH","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342906864","383726556","1148744341","1470633449","3010633693","3290686470","3356104020","3847585640","4504930050","5431807132.52","6566356479.29","6799134927.63","6624501253.52","7110510939.53","7285586807.14","7195627023.59","7884910423.71","",
"Belarus","BLR","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2686733700","10026595800","15708354700","33852264000","80932274100","233415199200","508431937300","1636417953300","2309217966400","3382820639600","4636208095000","6806018500000","9308147300000","11614057700000","14120556600000","14885591700000","18714808500000","35165611400000","50061505300000","56140681900000","",
"Belize","BLZ","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","21301000","24688000","36012000","36894000","41648000","39559000","39395000","42408000","50010000","58607000","71032000","84303000","81784000","99866000","105991000","118296000","126334000","136352000","144178000","155472000","164018000","166165000","186645000","248235000","287320000","375788000","373208000","459965000","504991000","534882000","617745339.34","704405148.5","706236838.03","713283185.56","707902557.44","839293509.05","1102865569.86","1121922155.37","",
"Bermuda","BMU","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Money (current LCU)","FM.LBL.MONY.CN","418.5","494.6","557","658.2","794.5","918.2","1100","1154.3","1228.1","1346.7","1494.8","1713.7","2160.1","2900.8","4141","4592","6329.3","7724.6","8573.4","9778.7","14268.1","16879.4","54608.1","167408","3031600","111800000","260000000","509300000","687500000","708400000","991200000","1447000000","1922600000","2499400000","3232000000","3913000000","3043858135.46","3591718446.83","3817606127","3641322289.78","3963426759.61","8721796388.1797","9335784266.1456","10748920824.911","11231936947.4216","14659159091.2","20929901644.9711","27645002797.0615","35086065523.2462","35802374232.5257","45247735627.0094","56769153067.31","68377601226.364","80081616906.5862","",
"Brazil","BRA","Money (current LCU)","FM.LBL.MONY.CN","0.000233818181818182","0.000347636363636364","0.000576727272727273","0.000951636363636364","0.001704","0.00296618181818182","0.00337927272727273","0.0050290909090909","0.00710909090909091","0.00979527272727273","0.0122498181818182","0.0163636363636364","0.0221818181818182","0.0323636363636364","0.0443636363636364","0.0632727272727273","0.0876363636363636","0.121090909090909","0.163272727272727","0.285454545454545","0.486181818181818","0.889090909090909","1.50145454545455","3.04981818181818","9.24763636363636","40.0861818181818","172.891636363636","540.535636363636","2619.63636363637","37388.3636363636","902581.454545454","4845581.81818182","52672363.6363637","1114907272.72727","25461000000","32126000000","41709000000","51297000000","55010152000","62525697000","74396054000","83256968000","107428182000","109250307000","129272209000","146176723000","176149679000","235636001000","226089758000","253388226000","286865191000","291197386000","331906216000","353655330198.93","",
"Barbados","BRB","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","38900000","42100000","51900000","56800000","55700000","62500000","67800000","77460000","91160000","108290000","117620000","138170000","165170000","233500000","252940000","264490000","269430000","335020000","328300000","383390000","417830000","485270000","551150000","485960000","559200000","518680000","534410000","499500000","561170000","462610000","675080000","675620000","848880000","979700000","1195710000","1563524000","2271602000","2406393000","2762249000","3071896000","3070451993.09","3713227597","3496908397","3592194880","","","","","",
"Brunei Darussalam","BRN","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2789891000","2764067000","2863892761.27","3145223371.43","3249370179.8","3530842087.27","3575581976.03","3962566653.12","3851246070.67","4386118166.22","5390535630.22","3817081781.3188","4233488708.95255","4293381781.31116","4464579896.52006","",
"Bhutan","BTN","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","","","","","","","","177200000","209800000","261700000","277000000","316800000","412100000","546300000","539500000","749700000","840900000","821900000","1044300000","1322400000","2074130000","2168200000","2628900000","3724000000","3939080000","5057278507.4283","8032221525.02999","7745717549.61898","8899939701.03","10241466295.0361","12561492141.0247","17486073429.7596","16504553281.2289","22634102474.2331","29074350277.5715","33216260970.3105","33297820445.3917","34080087356.04","",
"Botswana","BWA","Money (current LCU)","FM.LBL.MONY.CN","","","","","","","","","","","","","","","","","43522000","58207000","60935000","82112000","90586000","114756000","127400000","137330000","150610000","188240000","243450000","312120000","406470000","506490000","586060000","613610000","606990000","696310000","773740000","829250000","950870000","1037812000","1512964000","1774580000","1896590000","2354005008.31","2581280174.7","2882273541.94","4224936867.952","3997701999.39","5156841420.81","6238348088.52","7768465571.1","7107801962.52","9263887737.46","8675011926.49","10555006447.61","12513303777.69","",
